Epoch	Train_Loss	Test_Loss	Image_AUROC	Pixel_AUROC
1	946.429136	-0.078315	0.853607	0.484809
2	-0.602640	1.743692	0.857343	0.473264
3	nan	29.365450	0.858433	0.479239
4	37.172678	5.022248	0.881837	0.508137
5	-0.621322	965.692030	0.879294	0.495001
6	-0.624503	5669.091794	0.881993	0.516421
7	-0.618188	711.985585	0.861235	0.498505
8	-0.639117	0.008529	0.872963	0.478215
9	-0.628059	3133.012589	0.883861	0.501768
10	-0.418614	12.986142	0.852465	0.495834
11	-0.577362	-0.297118	0.865594	0.475779
12	-0.650898	5.402925	0.881214	0.492935
13	-0.649288	-0.281321	0.879346	0.491230
14	-0.642116	0.203598	0.879398	0.469426
15	-0.657701	0.067797	0.844837	0.516978
16	-0.518875	22.933397	0.872911	0.476965
17	-0.662118	42.900328	0.847794	0.495006
18	-0.656403	-0.025782	0.881837	0.507789
19	-0.658104	-0.286171	0.903684	0.506251
20	-0.661954	0.136435	0.894655	0.482065
21	-0.655438	5.219956	0.902180	0.482640
22	-0.667752	0.371764	0.878672	0.476826
23	-0.676839	434.539658	0.890607	0.481551
24	-0.672269	311.951665	0.877167	0.498213
25	-0.553427	2763.137149	0.870005	0.494160
26	-0.622531	292829.886259	0.849507	0.483655
27	-0.665964	1250552.816567	0.860612	0.482380
28	-0.680914	22.565788	0.893928	0.461251
29	-0.679466	122.473362	0.868345	0.489906
30	66846219.910281	4596881.922213	0.858485	0.508641
31	-0.680000	402.873754	0.904774	0.472248
32	-0.674941	25.838744	0.887961	0.488805
33	-0.559666	87.191607	0.844940	0.462123
34	-0.697174	1.241051	0.872133	0.478429
35	-0.689375	1633534.439933	0.859315	0.482571
36	0.199847	668.683746	0.887078	0.497884
37	-0.696459	-0.275749	0.890348	0.494154
38	-0.704826	1882.394253	0.877374	0.511811
39	-0.698473	214.706916	0.876751	0.475796
40	-0.707974	22333.188921	0.880903	0.508474
41	-0.713933	-0.304941	0.871199	0.473559
42	-0.708936	2.733133	0.885573	0.482448
43	585.751997	85160.845322	0.864764	0.481860
44	-0.700485	21.239982	0.908822	0.499140
45	-0.705458	0.095337	0.877167	0.475393
46	-0.710956	292.228426	0.905034	0.503224
47	-0.703513	-0.296935	0.871043	0.496794
48	-0.723665	1.909228	0.890088	0.492329
49	-0.718026	4.592195	0.895693	0.484563
50	-0.709094	-0.336323	0.874935	0.486144
51	-0.700531	-0.326833	0.885522	0.499569
52	-0.689776	-0.306082	0.895433	0.474900
53	-0.694258	-0.309774	0.877530	0.481449
54	-0.722534	57.039638	0.871666	0.469940
55	-0.119858	968.032135	0.891593	0.489305
56	-0.611663	78152.904660	0.881474	0.468742
57	-0.734028	34963.883906	0.880695	0.482549
58	-0.730354	141080.980214	0.860768	0.499080
59	432.014568	251.887554	0.879554	0.499019
60	-0.732805	72.938951	0.907525	0.492987
61	1.264813	-0.299248	0.888012	0.492925
62	-0.705610	-0.318715	0.925739	0.502616
63	-0.734518	-0.327371	0.883134	0.497388
64	-0.735847	4.517128	0.886767	0.500891
65	123.695562	-0.342611	0.890763	0.499705
66	-0.736954	0.693772	0.875195	0.496696
67	-0.758117	40637.467170	0.880540	0.502038
68	-0.746491	0.166922	0.905916	0.509681
69	-0.748415	5239.806527	0.882304	0.477871
70	-0.748380	1.556425	0.898339	0.473044
71	-0.754256	6334.210587	0.880799	0.470740
72	-0.763961	1105.349402	0.891386	0.475748
73	-0.754518	22036.139718	0.894551	0.486235
74	46.911883	93677.548293	0.891022	0.458278
75	617.799408	139184.949080	0.888635	0.474182
76	2.110941	79666.009875	0.905189	0.488936
77	-0.654936	35512.722078	0.865179	0.482486
78	-0.668905	1423.766193	0.901453	0.494289
79	nan	177.380159	0.889621	0.487577
80	-0.754467	427.227432	0.893150	0.472708
81	-0.763091	450.479612	0.891905	0.486006
82	-0.775067	2921.379370	0.903944	0.483187
83	-0.748565	-0.301972	0.895745	0.483092
84	-0.758726	-0.294625	0.920913	0.484030
85	-0.754543	-0.055093	0.908459	0.495116
86	0.630142	4998.706034	0.877841	0.515711
87	-0.747547	5319.351873	0.888635	0.469898
88	-0.723385	289796.158305	0.874364	0.472039
89	nan	217738.896217	0.874364	0.475030
90	nan	11285.979004	0.902543	0.470991
91	-0.758101	12905.622886	0.893254	0.510675
92	-0.525801	151.630547	0.913181	0.470718
93	-0.755335	66532.280106	0.853970	0.474301
94	-0.770164	436.414086	0.883705	0.496742
95	30.657913	321346.723987	0.886559	0.512384
96	-0.781465	19.276782	0.879606	0.463754
97	-0.778601	-0.203904	0.923352	0.497055
98	-0.778688	369.382727	0.899533	0.479543
99	-0.776060	72.500018	0.888376	0.457218
100	28.687062	36408.698633	0.880488	0.491496
101	-0.781827	4319.886228	0.888272	0.498053
102	-0.781390	14916.412454	0.889310	0.512872
103	nan	361.793437	0.907940	0.468255
104	nan	76708.125236	0.877841	0.506338
105	30.540209	124600.972201	0.891749	0.491866
106	-0.292223	2998.871331	0.923300	0.476941
107	-0.783813	71.840115	0.891801	0.478371
108	-0.792930	4752.796348	0.878516	0.460923
109	-0.783881	69.203747	0.891126	0.504984
110	-0.353107	89.213624	0.900052	0.489481
111	-0.785576	485.716780	0.910275	0.470740
112	-0.782220	6.830110	0.896834	0.477892
113	-0.787792	16951.477932	0.885833	0.472729
114	-0.735392	3.827925	0.891437	0.494603
115	-0.793319	44250.879251	0.903373	0.502402
116	-0.795364	249684.446402	0.901297	0.460919
117	-0.790082	45.545116	0.891956	0.483077
118	-0.788099	-0.314892	0.922678	0.482544
119	-0.789003	0.079322	0.915153	0.505369
120	-0.789379	2362.081893	0.909081	0.504861
121	-0.787342	342.012858	0.889050	0.506951
122	135.298620	120930.722634	0.887649	0.496352
123	2.491245	569367.079075	0.904982	0.470638
124	-0.579284	4603.709081	0.880073	0.501189
125	-0.666033	336.487593	0.900986	0.495658
126	-0.779484	-0.301811	0.929476	0.504375
