method,variant,pixel_auroc,fit_seconds,eval_seconds
D_PaDiM,raw,0.888030,4.12,3.60
D_PaDiM,A,0.890157,4.12,3.60
D_PaDiM,B,0.793238,4.12,3.60
D_PaDiM,C,0.778444,4.12,3.60
E_PatchCore,raw,0.834973,4.24,53.39
E_PatchCore,A,0.836286,4.24,53.39
E_PatchCore,B,0.742445,4.24,53.39
E_PatchCore,C,0.836032,4.24,53.39
F_FastFlow,raw,0.752538,269.47,5.59
F_FastFlow,A,0.756479,269.47,5.59
F_FastFlow,B,0.742770,269.47,5.59
F_FastFlow,C,0.442065,269.47,5.59
G_CFLOW,raw,0.923768,222.56,4.90
G_CFLOW,A,0.925872,222.56,4.90
G_CFLOW,B,0.818333,222.56,4.90
G_CFLOW,C,0.383825,222.56,4.90
H_DifferNet,raw,0.806784,137.01,3.61
H_DifferNet,A,0.809462,137.01,3.61
H_DifferNet,B,0.500000,137.01,3.61
H_DifferNet,C,0.686468,137.01,3.61
I_SEDifferNet,raw,0.541450,171.12,2.56
I_SEDifferNet,A,0.542159,171.12,2.56
I_SEDifferNet,B,0.500000,171.12,2.56
I_SEDifferNet,C,0.478660,171.12,2.56
