epoch	train_loss	image_auroc	pixel_auroc
1	453.435402	0.694537	0.637300
2	96.809997	0.742847	0.556088
3	-25.327909	0.743776	0.602754
4	-96.264311	0.761799	0.576692
5	-151.503343	0.799517	0.608775
6	-196.962324	0.822557	0.623932
7	-239.788108	0.832033	0.578673
8	-268.320618	0.842438	0.635205
9	-295.651202	0.794872	0.596437
10	-316.694804	0.880528	0.629364
11	-335.068739	0.829060	0.619233
12	-357.033351	0.874396	0.643072
13	-371.072978	0.835191	0.667749
14	-385.883106	0.866964	0.660807
15	-398.948034	0.862319	0.648737
16	-390.483525	0.869194	0.659680
17	-419.134113	0.844110	0.657811
18	-431.763842	0.856559	0.670898
19	-444.036331	0.872910	0.709342
20	-448.507880	0.831289	0.681793
21	-461.067098	0.879784	0.716979
22	-472.318918	0.859346	0.707901
23	-458.475132	0.829803	0.689979
24	-472.370298	0.831104	0.731131
25	-485.156220	0.886288	0.721834
26	-468.230095	0.798402	0.628098
27	-476.908344	0.838164	0.636443
28	-499.966515	0.862505	0.665009
29	-516.076920	0.871423	0.709707
30	-515.687811	0.881828	0.721340
31	-530.145963	0.869751	0.742674
32	-533.013110	0.882572	0.738670
33	-535.254089	0.883501	0.759588
34	-544.586230	0.838536	0.753458
35	-549.744888	0.874210	0.764036
36	-553.364373	0.849870	0.782973
37	-551.421302	0.850427	0.759791
38	-564.023788	0.850056	0.772287
39	-562.559648	0.831289	0.708899
40	-555.437196	0.812152	0.750037
41	-476.117782	0.837978	0.654203
42	-538.986060	0.846711	0.713826
43	-561.371934	0.869194	0.716257
44	-573.829980	0.862505	0.735982
45	-580.611956	0.878112	0.769649
46	-587.615000	0.898551	0.777843
47	-587.563145	0.886473	0.790483
48	-598.129751	0.861204	0.765404
49	-553.410178	0.866035	0.751769
50	-580.812286	0.878484	0.770876
51	-588.393337	0.897622	0.767540
52	-604.535657	0.893534	0.779559
53	-608.935531	0.890190	0.800687
54	-613.892110	0.896878	0.796259
55	-597.253854	0.840022	0.758227
56	-611.368151	0.871981	0.758502
57	-609.528481	0.824972	0.747223
58	-624.137100	0.910256	0.784744
59	-627.881586	0.883129	0.798346
60	-629.402634	0.889260	0.791854
61	-620.308444	0.865292	0.798149
62	-630.067586	0.829617	0.773314
63	-614.067155	0.827759	0.757333
64	-634.126125	0.841509	0.777699
65	-641.560563	0.880156	0.787976
66	-616.976856	0.840766	0.743355
67	-640.605333	0.860275	0.772898
68	-645.147533	0.858045	0.783324
69	-648.337788	0.849498	0.798291
70	-654.858188	0.854143	0.798162
71	-637.375320	0.867150	0.792119
72	-621.160249	0.831847	0.766699
73	-334.039597	0.782980	0.681525
74	-507.196874	0.840766	0.697041
75	-500.096354	0.835935	0.691129
76	-342.655142	0.874582	0.716048
77	-313.616566	0.835935	0.737905
78	-476.625818	0.862505	0.763471
79	-556.537311	0.833705	0.769141
80	-217.279047	0.757153	0.593031
81	-27.533551	0.755667	0.609850
82	-42.486178	0.769788	0.610464
83	236.498316	0.726124	0.638885
84	-340.371134	0.752880	0.619844
85	-410.596512	0.785396	0.619231
86	-459.715910	0.757525	0.624032
87	-482.727982	0.767001	0.644393
88	-498.889445	0.777406	0.636184
89	-519.574453	0.764400	0.639496
90	-532.741724	0.761427	0.656462
91	-543.698374	0.767930	0.673647
92	-553.876897	0.807878	0.673417
93	-559.295259	0.806577	0.689028
94	-566.830947	0.837049	0.700984
95	-570.946699	0.805463	0.701546
96	-581.260752	0.817726	0.707055
97	-586.874406	0.799331	0.716636
98	-588.876345	0.834448	0.722517
99	-595.336657	0.843181	0.729090
100	-601.754173	0.834262	0.714750
