epoch	train_loss	image_auroc	pixel_auroc
1	520.655419	0.793571	0.911948
2	184.095759	0.802676	0.920320
3	77.371464	0.842252	0.925693
4	4.004832	0.869565	0.930233
5	-54.383398	0.868636	0.932494
6	-101.748422	0.870308	0.933404
7	-142.494901	0.888146	0.935333
8	-169.801391	0.884615	0.934023
9	-203.448826	0.871795	0.935345
10	-229.031633	0.857488	0.934220
11	-250.696705	0.888517	0.935750
12	-272.164379	0.891304	0.935427
13	-289.436203	0.904496	0.936890
14	-305.036237	0.890004	0.934098
15	-319.152509	0.908398	0.934032
16	-332.892794	0.892233	0.934636
17	-348.135031	0.888331	0.932060
18	-359.861312	0.909885	0.935610
19	-368.642069	0.862505	0.934842
20	-380.029106	0.866592	0.936190
21	-391.526279	0.857116	0.932954
22	-396.029132	0.851171	0.932401
23	-404.816477	0.852100	0.933246
24	-416.562632	0.862319	0.932296
25	-421.111974	0.850427	0.932147
26	-433.265443	0.825158	0.931969
27	-438.111352	0.831661	0.930543
28	-441.841328	0.838907	0.931824
29	-449.517042	0.841880	0.932854
30	-450.812267	0.837793	0.933007
31	-464.967125	0.824972	0.932711
32	-468.596245	0.840394	0.930032
33	-474.164172	0.861018	0.931422
34	-478.683300	0.837421	0.932060
35	-449.497424	0.895578	0.935872
36	-446.511080	0.826087	0.929709
37	-411.185620	0.850056	0.933199
38	-405.797385	0.874582	0.935134
39	-473.550085	0.827945	0.935405
40	-487.626017	0.818841	0.934406
41	-494.313969	0.848569	0.933496
42	-499.551356	0.828688	0.934096
43	-505.719841	0.837421	0.932635
44	-514.119397	0.834820	0.933714
45	-515.795207	0.849498	0.935515
46	-514.507269	0.844853	0.932884
47	-527.936772	0.830175	0.933437
48	-528.451963	0.850799	0.931478
49	-532.200495	0.855630	0.931256
50	-533.705230	0.830546	0.931402
51	-540.336671	0.855444	0.931626
52	-542.114557	0.859346	0.929262
53	-545.120163	0.862690	0.929315
54	-547.960883	0.888517	0.929360
55	-549.414102	0.868265	0.927181
56	-557.752482	0.880342	0.929089
57	-558.982816	0.884058	0.928875
58	-564.141271	0.879227	0.927284
59	-545.184260	0.853400	0.926807
60	-565.717748	0.877369	0.927768
61	-567.699263	0.891119	0.925733
62	-571.110731	0.885359	0.926692
63	-577.887110	0.891119	0.924411
64	-581.179595	0.896693	0.925403
65	-579.737181	0.885916	0.922785
66	-584.886845	0.894649	0.922366
67	-585.087839	0.906540	0.923255
68	-417.749455	0.828874	0.931586
69	-480.315309	0.870494	0.935737
70	-536.564017	0.851171	0.935646
71	-553.864061	0.840951	0.934640
72	-571.710453	0.822557	0.934641
73	-576.788675	0.829431	0.933161
74	-585.416141	0.858603	0.930829
75	-589.647599	0.872352	0.931109
76	-592.891435	0.856931	0.929953
77	-599.751014	0.862876	0.930021
78	-598.549698	0.882200	0.928526
79	-604.268369	0.873653	0.928292
80	-605.914376	0.895764	0.926431
81	-609.048738	0.878484	0.925181
82	-610.707234	0.890747	0.926081
83	-613.942295	0.906540	0.924216
84	-619.304779	0.876626	0.924074
85	-618.279131	0.881085	0.923020
86	-620.165134	0.870308	0.922537
87	-622.491347	0.864177	0.919728
88	-626.134992	0.884244	0.922772
89	-628.438683	0.884615	0.920826
90	-611.345601	0.868265	0.932937
91	-609.681883	0.863248	0.933791
92	-609.678557	0.847826	0.928068
93	-604.620163	0.876997	0.931481
94	-626.307014	0.837421	0.933747
95	-619.946289	0.879227	0.931062
96	-635.185015	0.871795	0.929545
97	-636.395111	0.875139	0.927601
98	-503.547296	0.872166	0.926725
99	-549.662656	0.909327	0.924770
100	-590.868455	0.889075	0.924817
