epoch	train_loss	image_auroc	pixel_auroc
1	-1189.052363	0.364363	0.635097
2	-1936.875467	0.371795	0.609509
3	-2677.950557	0.382943	0.543276
4	-3481.265283	0.397993	0.493419
5	-4136.660369	0.410071	0.461696
6	-4421.667074	0.420104	0.461842
7	-4863.429633	0.438499	0.474728
8	-5043.989889	0.454106	0.493755
9	-5290.574276	0.467484	0.512444
10	-5337.419775	0.472687	0.518229
11	-5519.696716	0.476960	0.525914
12	-5511.731433	0.485321	0.526933
13	-5519.101586	0.490896	0.524117
14	-5587.016696	0.488852	0.532494
15	-5844.857426	0.489967	0.541673
16	-5865.375669	0.492010	0.544619
17	-5875.475636	0.491825	0.540536
18	-5872.106681	0.497213	0.542782
19	-6049.876082	0.496470	0.543151
20	-6134.258246	0.494797	0.550726
21	-6147.244961	0.491267	0.554656
22	-6264.213303	0.493311	0.562203
23	-6328.387931	0.492939	0.565455
24	-6346.289757	0.492196	0.576465
25	-6377.196786	0.490338	0.580007
26	-6422.099521	0.487737	0.588950
27	-6421.320153	0.485693	0.599516
28	-6444.042767	0.488666	0.599809
29	-6493.972766	0.487923	0.608197
30	-6563.966927	0.491081	0.613534
31	-6536.287421	0.490524	0.617912
32	-6641.784348	0.485507	0.622648
33	-6635.682781	0.487365	0.624973
34	-6638.173475	0.488852	0.635514
35	-6630.629113	0.489038	0.639822
36	-6681.368686	0.489223	0.639841
37	-6660.733209	0.492568	0.645183
38	-6700.690758	0.492568	0.645699
39	-6753.211287	0.493683	0.647720
40	-6757.564849	0.492196	0.652103
41	-6736.155025	0.495169	0.651811
42	-6809.606071	0.495912	0.658355
43	-6790.215681	0.495541	0.661407
44	-6863.122521	0.493311	0.657359
45	-6896.368337	0.492196	0.662472
46	-6867.711169	0.492382	0.661403
47	-6928.168806	0.494054	0.662120
48	-6915.337840	0.494797	0.661074
49	-6985.263512	0.497027	0.666120
50	-6967.701004	0.497213	0.666539
51	-6921.044093	0.497213	0.666411
52	-7026.018559	0.497770	0.666880
53	-7064.872723	0.497213	0.668438
54	-6997.592971	0.496656	0.667526
55	-7036.595935	0.497399	0.667553
56	-7090.990563	0.497213	0.669616
57	-7113.844988	0.497213	0.669372
58	-7120.369831	0.500372	0.663654
59	-7097.109114	0.499443	0.661128
60	-7141.755426	0.502415	0.660256
61	-7163.982435	0.505574	0.663206
62	-7162.013668	0.506503	0.663877
63	-7204.705002	0.505946	0.660062
64	-7266.709628	0.501672	0.664077
65	-7294.708542	0.503902	0.665795
66	-7166.213661	0.507061	0.658019
67	-7252.591923	0.507061	0.666687
68	-7271.536394	0.507432	0.665930
69	-7284.160291	0.506503	0.651536
70	-7379.141092	0.508361	0.657600
71	-7234.765187	0.505203	0.644024
72	-7327.339494	0.506689	0.644985
73	-7356.077734	0.507990	0.638916
74	-7357.162812	0.504831	0.633975
75	-7424.030240	0.506689	0.628423
76	-7420.687222	0.507246	0.627123
77	-7421.342555	0.507990	0.627403
78	-7332.211897	0.509290	0.625463
79	-7327.873203	0.510405	0.617319
80	-7412.324547	0.511520	0.615855
81	-7360.918848	0.510033	0.608578
82	-7406.980086	0.512635	0.608776
83	-7446.402575	0.513192	0.608272
84	-7440.260485	0.511891	0.610609
85	-7443.901632	0.511891	0.613250
86	-7439.548828	0.516722	0.611728
87	-7480.146063	0.518395	0.601628
88	-7484.160426	0.517466	0.608131
89	-7527.513988	0.516722	0.605602
90	-7506.281637	0.518395	0.610404
91	-7492.288174	0.522668	0.604037
92	-7499.110937	0.522297	0.605404
93	-7556.016921	0.522668	0.605994
94	-7512.104075	0.523597	0.599781
95	-7544.751650	0.524712	0.596217
96	-7460.520121	0.520810	0.595178
97	-7483.986496	0.519138	0.595043
98	-7546.240672	0.518395	0.593049
99	-7547.993711	0.516165	0.594243
100	-7580.580579	0.518395	0.599158
