class,n_transforms,method,pixel_agg,auroc,ap,f1
polymer-insulator-upper-shackle,32,Baseline Image (SEDifferNet),N/A,0.9661,0.9057,0.8588
polymer-insulator-upper-shackle,32,Baseline Pixel CFLOW,max,0.6558,0.3962,0.4701
polymer-insulator-upper-shackle,32,Baseline Pixel CFLOW,topk0.05,0.6632,0.4020,0.4765
polymer-insulator-upper-shackle,32,Z-Score Sum,max,0.9652,0.9052,0.8503
polymer-insulator-upper-shackle,32,Rank Average,max,0.8859,0.7487,0.6763
polymer-insulator-upper-shackle,32,MinMax Sum (a=0.25),max,0.8395,0.6224,0.6207
polymer-insulator-upper-shackle,32,MinMax Sum (a=0.50),max,0.9294,0.8199,0.7638
polymer-insulator-upper-shackle,32,MinMax Sum (a=0.75),max,0.9600,0.8941,0.8364
polymer-insulator-upper-shackle,32,Z-Score Sum,topk0.05,0.9655,0.9059,0.8537
polymer-insulator-upper-shackle,32,Rank Average,topk0.05,0.8906,0.7560,0.6800
polymer-insulator-upper-shackle,32,MinMax Sum (a=0.25),topk0.05,0.8462,0.6442,0.6289
polymer-insulator-upper-shackle,32,MinMax Sum (a=0.50),topk0.05,0.9327,0.8343,0.7670
polymer-insulator-upper-shackle,32,MinMax Sum (a=0.75),topk0.05,0.9609,0.8961,0.8364
