class,n_transforms,method,pixel_agg,auroc,ap,f1
yoke-suspension,32,Baseline Image (SEDifferNet),N/A,0.9839,0.6649,0.6667
yoke-suspension,32,Baseline Pixel CFLOW,max,0.8149,0.1448,0.2800
yoke-suspension,32,Baseline Pixel CFLOW,topk0.05,0.8154,0.1482,0.2828
yoke-suspension,32,Z-Score Sum,max,0.9827,0.6644,0.6786
yoke-suspension,32,Rank Average,max,0.9511,0.5359,0.5106
yoke-suspension,32,MinMax Sum (a=0.25),max,0.9183,0.2682,0.3838
yoke-suspension,32,MinMax Sum (a=0.50),max,0.9693,0.5151,0.5946
yoke-suspension,32,MinMax Sum (a=0.75),max,0.9836,0.6809,0.6916
yoke-suspension,32,Z-Score Sum,topk0.05,0.9826,0.6669,0.6737
yoke-suspension,32,Rank Average,topk0.05,0.9509,0.5379,0.5053
yoke-suspension,32,MinMax Sum (a=0.25),topk0.05,0.9169,0.2685,0.3711
yoke-suspension,32,MinMax Sum (a=0.50),topk0.05,0.9685,0.5115,0.5983
yoke-suspension,32,MinMax Sum (a=0.75),topk0.05,0.9836,0.6826,0.6916
