n_transforms,levels,masking_mode,z_score_mode,image_auroc,image_ap,image_f1,image_threshold
1,0,zero,mean,0.5448369565217391,0.3002278370527107,0.49999999608888895,11.999836921691895
1,0,zero,max,0.4619565217391304,0.24916625871177858,0.4266666633102223,1799.8016357421875
1,0,zero,topk_0.1,0.5258152173913044,0.28262465766207556,0.4687499962500001,80.00810241699219
1,0,zero,topk_0.05,0.5176630434782609,0.2898119341621048,0.4444444409876544,121.93494415283203
1,0,mean_impute,mean,0.7880434782608696,0.5475214336746844,0.6341463367043427,1.814437985420227
1,0,mean_impute,max,0.6222826086956522,0.37160659507335686,0.490566033520826,145.05108642578125
1,0,mean_impute,topk_0.1,0.7717391304347826,0.5608446582946925,0.6190476143310658,12.213940620422363
1,0,mean_impute,topk_0.05,0.7730978260869565,0.5600262237692744,0.6046511581179016,19.736879348754883
1,1,zero,mean,0.4375,0.23379330773297297,0.4444444409876544,137.7965545654297
1,1,zero,max,0.391304347826087,0.2253281428216117,0.42253520777623493,25669.984375
1,1,zero,topk_0.1,0.44021739130434784,0.23457925308418084,0.4444444409876544,1150.450439453125
1,1,zero,topk_0.05,0.4320652173913044,0.23214468639385763,0.44117646698961943,2392.47119140625
1,1,mean_impute,mean,0.6929347826086957,0.354117717641661,0.5925925884224966,1.5455002784729004
1,1,mean_impute,max,0.6073369565217391,0.33599539625598596,0.5106382933816206,197.34481811523438
1,1,mean_impute,topk_0.1,0.6970108695652174,0.3747442085406672,0.5957446763603441,10.531832695007324
1,1,mean_impute,topk_0.05,0.6902173913043478,0.37736008046625197,0.583333328888889,17.096160888671875
1,2,zero,mean,0.5394021739130435,0.34227837412123013,0.4848484811753903,1355.3968505859375
1,2,zero,max,0.5258152173913043,0.3373270343982111,0.49230768859644974,311189.1875
1,2,zero,topk_0.1,0.5394021739130435,0.342354237800035,0.4848484811753903,12352.8974609375
1,2,zero,topk_0.05,0.5394021739130435,0.342354237800035,0.4848484811753903,22686.36328125
1,2,mean_impute,mean,0.6915760869565217,0.39395559658817303,0.5294117597231834,1.2243833541870117
1,2,mean_impute,max,0.6277173913043479,0.347770049587933,0.5454545413289257,45.284664154052734
1,2,mean_impute,topk_0.1,0.7201086956521738,0.4027653612947731,0.5714285667120181,6.687786102294922
