n_transforms,pad,pad_mode,levels,masking_mode,z_score_mode,image_auroc,image_ap,image_f1,image_threshold
1,0,-,0,zero,mean,0.6209239130434783,0.3117533720178909,0.5161290284287201,11.999836921691895
1,0,-,0,zero,max,0.4891304347826087,0.24420822236990894,0.461538457827219,2190.099609375
1,0,-,0,zero,topk_0.1,0.5937499999999999,0.29388299648535376,0.5333333294222222,83.74520874023438
1,0,-,0,zero,topk_0.05,0.592391304347826,0.2893110691454935,0.5333333294222222,139.53541564941406
1,0,-,0,mean_impute,mean,0.8614130434782608,0.7202794343419343,0.6842105214404434,1.8606923818588257
1,0,-,0,mean_impute,max,0.5855978260869564,0.356021419052616,0.476190471473923,186.9645233154297
1,0,-,0,mean_impute,topk_0.1,0.8505434782608695,0.6602704604530747,0.6857142807510205,12.985185623168945
1,0,-,0,mean_impute,topk_0.05,0.8600543478260869,0.6728383264435986,0.6666666622222223,19.213327407836914
1,0,-,1,zero,mean,0.48641304347826086,0.2910583737386849,0.43835616096078067,137.7965545654297
1,0,-,1,zero,max,0.45652173913043487,0.33773428829829644,0.43835616096078067,25669.984375
1,0,-,1,zero,topk_0.1,0.483695652173913,0.28834349059632086,0.43835616096078067,1150.450439453125
1,0,-,1,zero,topk_0.05,0.48097826086956524,0.28770407245211765,0.43243242904309714,2008.8353271484375
1,0,-,1,mean_impute,mean,0.7323369565217391,0.4028709380579375,0.5909090862809917,1.669028878211975
1,0,-,1,mean_impute,max,0.532608695652174,0.2831234728558112,0.44827585807372183,131.8594207763672
1,0,-,1,mean_impute,topk_0.1,0.7296195652173914,0.38707693908349494,0.6046511581179016,10.904594421386719
1,0,-,1,mean_impute,topk_0.05,0.7051630434782609,0.36604006094213387,0.6046511581179016,17.62346839904785
1,0,-,2,zero,mean,0.6182065217391304,0.3772947056683287,0.4745762672335536,2368.534423828125
1,0,-,2,zero,max,0.5964673913043478,0.3701989525364916,0.4745762672335536,487492.71875
1,0,-,2,zero,topk_0.1,0.6195652173913044,0.3792979107965338,0.4745762672335536,22024.640625
1,0,-,2,zero,topk_0.05,0.6182065217391305,0.3788354372235951,0.4666666627555556,41035.70703125
1,0,-,2,mean_impute,mean,0.7201086956521738,0.508319569050828,0.555555550617284,1.2400768995285034
