pad,pad_mode,tta,level,pixel_auroc,pixel_ap,pixel_f1
0,reflect,none,L1,0.8612682041409124,0.04826750249270543,0.09024208890876682
0,reflect,none,L2,0.8234277431300262,0.0358343869024106,0.06847001273068094
0,reflect,none,L3,0.787399544877476,0.029907853250086498,0.05867209697214236
0,reflect,flips,L1,0.863279018538094,0.04882251478875461,0.09041861377631874
0,reflect,flips,L2,0.8278437100232092,0.036549160904644475,0.07061450011722427
0,reflect,flips,L3,0.8108835399678471,0.03558540944286863,0.07295577501831309
112,reflect,none,L1,0.8689248251046591,0.05063850852195926,0.09451480937253287
112,reflect,none,L2,0.8427840688035017,0.04007434395341409,0.07584459649144022
112,reflect,none,L3,0.7954512010950774,0.031048539046845826,0.06218573815204888
112,reflect,flips,L1,0.8705743979433151,0.05102895832769456,0.09457530081970707
112,reflect,flips,L2,0.8469054373517948,0.04116033612399728,0.07847972520124383
112,reflect,flips,L3,0.8193235486827396,0.038396619429953746,0.077428498066278
