pad,pad_mode,tta,level,pixel_auroc,pixel_ap,pixel_f1
0,reflect,none,L1,0.8584740631528828,0.04939120681158224,0.09319227133395712
0,reflect,none,L2,0.8655401111880818,0.050087428196152195,0.09664024631259231
0,reflect,none,L3,0.8474882295067595,0.05306047074977554,0.1085468732541249
0,reflect,flips,L1,0.8597432326483263,0.04920087437841246,0.09309277249919932
0,reflect,flips,L2,0.8616557661677007,0.04815497000102071,0.09329758301488808
0,reflect,flips,L3,0.8541762219673665,0.053801549788903585,0.1083600193691127
112,reflect,none,L1,0.8658494370373138,0.05146725743864869,0.09610750475359542
112,reflect,none,L2,0.8735276181482512,0.05475716989418094,0.10531171385239889
112,reflect,none,L3,0.8564716067480341,0.059100723065082204,0.11788196230780568
112,reflect,flips,L1,0.8667808174818684,0.051058660985412736,0.09555596951150425
112,reflect,flips,L2,0.8703222402983503,0.05280727138196052,0.10165177402341216
112,reflect,flips,L3,0.8645607490737839,0.06163206837346834,0.11929743030606346
