pad,pad_mode,tta,level,pixel_auroc,pixel_ap,pixel_f1
0,reflect,none,L1,0.83398374769101,0.036685434068666985,0.07928442702393416
0,reflect,none,L2,0.8318699393027467,0.03440458059348611,0.07202191004141119
0,reflect,none,L3,0.8377735437245111,0.04779705206274514,0.09905485863313353
0,reflect,flips,L1,0.8360285915316696,0.03683050109013544,0.07974839457675835
0,reflect,flips,L2,0.8273408962101562,0.03324656663117583,0.06921759168210168
0,reflect,flips,L3,0.8455781695743856,0.04899312974294277,0.09997181291551652
112,reflect,none,L1,0.8572127981390699,0.0502058792021364,0.09296571144990594
112,reflect,none,L2,0.8767111075053071,0.05635283889362923,0.10788474624834354
112,reflect,none,L3,0.8599970646431985,0.06028994287203666,0.12057656105331763
112,reflect,flips,L1,0.8589121296793761,0.04966389851786981,0.09306424265794144
112,reflect,flips,L2,0.8726633209441069,0.05316634857262162,0.10254201349494108
112,reflect,flips,L3,0.8676254208376468,0.06301145288466846,0.12247259554610802
