pad,pad_mode,tta,level,pixel_auroc,pixel_ap,pixel_f1
0,reflect,none,L1,0.8482642006058702,0.040239844706314754,0.08249386213335347
0,reflect,none,L2,0.8298622297924454,0.03449020047370972,0.0720260035890681
0,reflect,none,L3,0.8133726331479298,0.034867872327775426,0.07370371504701236
0,reflect,flips,L1,0.8506937150194379,0.04115565935700126,0.08348759359426021
0,reflect,flips,L2,0.8282165749958401,0.03386325723728775,0.07053066548969218
0,reflect,flips,L3,0.8236165367480588,0.03596383704039563,0.0733855087302755
112,reflect,none,L1,0.8686077167677257,0.051651673140691814,0.09568945348315173
112,reflect,none,L2,0.873479218888416,0.05507571381482741,0.1062930474192268
112,reflect,none,L3,0.8340708492749971,0.04082129633388468,0.08491871367918767
112,reflect,flips,L1,0.870489099969199,0.053050413625162246,0.096198611566431
112,reflect,flips,L2,0.8729711252549573,0.0542590059927702,0.10518582671397701
112,reflect,flips,L3,0.8451715678931262,0.043184209456702295,0.08582952268406721
