pad,pad_mode,tta,level,pixel_auroc,pixel_ap,pixel_f1
0,reflect,none,L1,0.8846962114839864,0.06381741043542574,0.11906711241500081
0,reflect,none,L2,0.838821968493684,0.03930488823370581,0.07550375286283942
0,reflect,none,L3,0.7725626305297126,0.027234174584486567,0.05296306499179859
0,reflect,flips,L1,0.8862117257315095,0.06420587676252185,0.11914778027570973
0,reflect,flips,L2,0.8403961435644347,0.03939865503909048,0.07517371994608486
0,reflect,flips,L3,0.790307084473677,0.030729533510246286,0.06275197922666172
112,reflect,none,L1,0.888394673989348,0.06616702167900129,0.12228245542568858
112,reflect,none,L2,0.8535331636269028,0.04391854330892787,0.08314881076018074
112,reflect,none,L3,0.7806375761875186,0.028268419370663555,0.05542486355442671
112,reflect,flips,L1,0.889579290904086,0.0663589960487373,0.12195561608716553
112,reflect,flips,L2,0.8556320253320157,0.04434623731273199,0.08437570339882311
112,reflect,flips,L3,0.7987803600517929,0.03308621006962145,0.0666831527227016
