pad,pad_mode,tta,level,pixel_auroc,pixel_ap,pixel_f1
0,reflect,none,L1,0.8744811100678342,0.05730667548836993,0.1079554891214084
0,reflect,none,L2,0.7733583325344565,0.02423823216185196,0.056117371710199496
0,reflect,none,L3,0.7543756333910161,0.024438517606431114,0.04857495590652833
0,reflect,flips,L1,0.8762984816457277,0.05838738040956237,0.10969896643520934
0,reflect,flips,L2,0.7737102561424992,0.024120150525659353,0.05588838374226901
0,reflect,flips,L3,0.7733712960686127,0.027396396071889168,0.056086237644493546
112,reflect,none,L1,0.8888952256097242,0.0663874132934726,0.12209602838662811
112,reflect,none,L2,0.8537603481960125,0.044284931667927165,0.08319943600933352
112,reflect,none,L3,0.7832412165880808,0.028413651820869343,0.05602078885581009
112,reflect,flips,L1,0.8900514832257629,0.0668969352741056,0.12261635680631607
112,reflect,flips,L2,0.8564059909796282,0.04480536124026998,0.08452832085081122
112,reflect,flips,L3,0.8006132658289407,0.033258720133693874,0.06685758659148
