pad,pad_mode,tta,level,pixel_auroc,pixel_ap,pixel_f1
0,reflect,none,L1,0.31673227359777206,0.00011433034892102029,0.00034850729203104785
0,reflect,none,L2,0.4823440051418324,0.0001697840265913132,0.00039218628848703134
0,reflect,none,L3,0.8787808322291372,0.0012834271647550173,0.004913611847518054
0,reflect,flips,L1,0.2668806185553713,0.00010660330971272072,0.00034806887624552215
0,reflect,flips,L2,0.524097339710778,0.00018931336110993705,0.0007596067917783735
0,reflect,flips,L3,0.899984785729522,0.0017539501740401527,0.005511816035183972
112,reflect,none,L1,0.3087021891325755,0.00011286424495638338,0.0003489592549932398
112,reflect,none,L2,0.45758815695205785,0.000159283176576293,0.0003647749034866401
112,reflect,none,L3,0.8805330649194163,0.0012612857785531078,0.0048738196218103425
112,reflect,flips,L1,0.2583171122129567,0.00010565651297771973,0.00034828970926281184
112,reflect,flips,L2,0.5014891380322566,0.00017529188381423631,0.000701303255215943
112,reflect,flips,L3,0.900232395238197,0.001711156088591079,0.005653179419264296
