pad,pad_mode,tta,level,pixel_auroc,pixel_ap,pixel_f1
0,reflect,none,L1,0.8669427518827996,0.0009655208930316028,0.004007904478276601
0,reflect,none,L2,0.5932900497452159,0.00019801172647718939,0.0011138958507379562
0,reflect,none,L3,0.9197702712222002,0.0019273914333641717,0.005508886358351866
0,reflect,flips,L1,0.8715688161737452,0.001017085654543432,0.004393825518876106
0,reflect,flips,L2,0.6125031057704609,0.00020540444532890156,0.0005337469749632404
0,reflect,flips,L3,0.9396328651781531,0.0033981904816731442,0.010257258664901977
112,reflect,none,L1,0.8684368078484687,0.0009772363054664018,0.004088519696281394
112,reflect,none,L2,0.6271259549858785,0.0002196894014465587,0.0012150668286755773
112,reflect,none,L3,0.9243378188437384,0.002044927139680085,0.006531925971505656
112,reflect,flips,L1,0.8739552212325656,0.0010277021225380241,0.004197199573399388
112,reflect,flips,L2,0.6496976076435917,0.00022993990431638907,0.0009272137227630969
112,reflect,flips,L3,0.9421283668407978,0.0037294137324981906,0.011337868480725623
