class,level,pixel_auroc,pixel_ap,pixel_f1
glass-insulator,L1,0.8584364566007504,0.0008070110919715073,0.0026346160540863936
glass-insulator,L3,0.9394081896953872,0.005312736921165632,0.018058933220332495
lightning-rod-suspension,L1,0.8014585681091617,0.014083975860963964,0.028422498873205453
lightning-rod-suspension,L3,0.8760752823884738,0.02966484458783615,0.06469659920768177
polymer-insulator-upper-shackle,L1,0.8279408510673357,0.024589441512927124,0.052842488300331766
polymer-insulator-upper-shackle,L2,0.7771208616738174,0.016203303890174537,0.03907978298036239
polymer-insulator-upper-shackle,L3,0.8524523676468241,0.03092614178034673,0.06473595743339551
vari-grip,L1,0.9191379707227635,0.09224727272489913,0.16361990072254967
vari-grip,L3,0.8052165665443566,0.034808274315584135,0.06906703183991242
yoke-suspension,L1,0.8929136042514345,0.005076055190857036,0.015560103629791834
yoke-suspension,L3,0.8960363918821694,0.01290729966871655,0.050850815202405135
