class,levels,sigma,score_norm,tta,pixel_auroc,pixel_ap,pixel_f1,pixel_ap_trivial
vari-grip,0,0.0,raw,flips,0.8426636448214011,0.11418477859825688,0.22059071794949825,0.023409266050170068
vari-grip,0,0.0,per_level_minmax,flips,0.8338572823050585,0.10222631811893206,0.199908314412652,0.023409266050170068
vari-grip,0,2.0,raw,flips,0.8635700363555235,0.12019416949001244,0.22666688344417657,0.023409266050170068
vari-grip,0,2.0,per_level_minmax,flips,0.8541502280910689,0.10697205425601411,0.20296227651552462,0.023409266050170068
vari-grip,0,4.0,raw,flips,0.8857577183610201,0.12946141600748004,0.23579940464942553,0.023409266050170068
vari-grip,0,4.0,per_level_minmax,flips,0.874769561076879,0.11372715198281069,0.20746817366983905,0.023409266050170068
vari-grip,0,8.0,raw,flips,0.8997090707475769,0.1437306506616357,0.24027612892627084,0.023409266050170068
vari-grip,0,8.0,per_level_minmax,flips,0.8867470546956017,0.12623433292649916,0.2012976488113169,0.023409266050170068
vari-grip,2,0.0,raw,flips,0.8317711641216802,0.07079198518894056,0.14355837394457127,0.023409266050170068
vari-grip,2,0.0,per_level_minmax,flips,0.855666664347126,0.09186419298155143,0.17205113935346034,0.023409266050170068
vari-grip,2,2.0,raw,flips,0.8322527806069631,0.07096100097384105,0.14429164188997654,0.023409266050170068
vari-grip,2,2.0,per_level_minmax,flips,0.8562718049118188,0.09220420654924036,0.17302765875581125,0.023409266050170068
vari-grip,2,4.0,raw,flips,0.8334567334687194,0.07136172256067304,0.14595892865247154,0.023409266050170068
vari-grip,2,4.0,per_level_minmax,flips,0.8578309401976825,0.09307893214456942,0.17527830935351926,0.023409266050170068
vari-grip,2,8.0,raw,flips,0.8363089638469855,0.07193957025441641,0.14877278115820095,0.023409266050170068
vari-grip,2,8.0,per_level_minmax,flips,0.8620047788617825,0.09494878356040025,0.18167195181100287,0.023409266050170068
vari-grip,02,0.0,raw,flips,0.897803077499419,0.12784684111535827,0.22857246682032503,0.023409266050170068
vari-grip,02,0.0,per_level_minmax,flips,0.888213080896048,0.14599828089287145,0.22033006452097662,0.023409266050170068
vari-grip,02,2.0,raw,flips,0.902799526891304,0.13207934747550765,0.2315523383868759,0.023409266050170068
vari-grip,02,2.0,per_level_minmax,flips,0.8905423265151297,0.15471714031312048,0.22311315376637822,0.023409266050170068
vari-grip,02,4.0,raw,flips,0.9090655825169821,0.13886172479108974,0.2384463548298427,0.023409266050170068
vari-grip,02,4.0,per_level_minmax,flips,0.8936430648938032,0.1661596107468505,0.23372265303703585,0.023409266050170068
vari-grip,02,8.0,raw,flips,0.9150904480554739,0.15056573002779,0.25245455031302655,0.023409266050170068
vari-grip,02,8.0,per_level_minmax,flips,0.8976756009307147,0.17839015333651356,0.232685012978879,0.023409266050170068
vari-grip,012,0.0,raw,flips,0.9118907162132064,0.14865325416948194,0.24582471259020583,0.023409266050170068
vari-grip,012,0.0,per_level_minmax,flips,0.925659373563918,0.19649403318341624,0.2899358280009252,0.023409266050170068
vari-grip,012,2.0,raw,flips,0.9146150187620542,0.15417988253600864,0.2496328364305652,0.023409266050170068
vari-grip,012,2.0,per_level_minmax,flips,0.9268141242313905,0.20265667659320796,0.29288082235048896,0.023409266050170068
vari-grip,012,4.0,raw,flips,0.9168264434260482,0.16152248143006825,0.2505197204301444,0.023409266050170068
vari-grip,012,4.0,per_level_minmax,flips,0.927534876740559,0.20515666249813685,0.2951063580826073,0.023409266050170068
vari-grip,012,8.0,raw,flips,0.9152876249771643,0.16641406674874212,0.23974944411326612,0.023409266050170068
vari-grip,012,8.0,per_level_minmax,flips,0.9262990903222873,0.19061048356664,0.28450373424227515,0.023409266050170068
