Model Group,Class,Img AUROC,Img Accuracy,Img F1,Img Precision,Img Recall,Img PR-AUC,Img PG2,Pix AUROC,Pix Accuracy,Pix F1,Pix Precision,Pix Recall,Pix PR-AUC,Pix PG2,Latency (ms/img),Peak RAM (MB),Peak VRAM (MB)
CBAMDiffernet,glass-insulator,0.5356307500389833,0.6086286594761171,0.21604938271604937,0.13565891472868216,0.5303030303030303,0.12590350255781788,0.018867924528301883,,,,,,,,7.182461099099305,2060.08984375,4542.85693359375
CBAMDiffernet,lightning-rod-suspension,0.7043269230769231,0.6962962962962963,0.5591397849462365,0.48148148148148145,0.6666666666666666,0.525997321379901,0.04166666666666663,,,,,,,,6.277932723363241,2599.85546875,4983.35693359375
CBAMDiffernet,polymer-insulator-upper-shackle,0.760966810966811,0.7879858657243817,0.5652173913043478,0.52,0.6190476190476191,0.4652212356797432,0.040909090909090895,,,,,,,,6.409439531421493,2605.21484375,4799.81005859375
CBAMDiffernet,vari-grip,0.7653508771929824,0.7467532467532467,0.5894736842105263,0.509090909090909,0.7,0.6219033416408092,0.0,,,,,,,,6.2653866971468,2605.12109375,4848.95068359375
CBAMDiffernet,yoke-suspension,0.4476977567886659,0.3803169307756464,0.074719800747198,0.039525691699604744,0.6818181818181818,0.03125248290968578,0.023376623376623384,,,,,,,,5.403748106792432,2528.88671875,4798.88818359375
Differnet,glass-insulator,0.34609387182285983,0.10631741140215717,0.1853932584269663,0.1021671826625387,1.0,0.09408003818778149,0.005145797598627766,,,,,,,,7.163827937492421,2531.9375,5190.60693359375
Differnet,lightning-rod-suspension,0.7435897435897435,0.7037037037037037,0.6,0.4918032786885246,0.7692307692307693,0.5404985463242855,0.08333333333333337,,,,,,,,5.6015743977493715,2599.8359375,4980.62841796875
Differnet,polymer-insulator-upper-shackle,0.8183261183261183,0.823321554770318,0.647887323943662,0.5822784810126582,0.7301587301587301,0.535648420060811,0.2090909090909091,,,,,,,,5.706999424594872,2381.67578125,4784.39990234375
Differnet,vari-grip,0.6785087719298245,0.7142857142857143,0.5111111111111111,0.46,0.575,0.4995443550252004,0.0,,,,,,,,5.603988933098781,2381.55078125,4840.18115234375
Differnet,yoke-suspension,0.40895316804407716,0.9107589658048374,0.08547008547008547,0.0684931506849315,0.11363636363636363,0.0380609253540779,0.010389610389610393,,,,,,,,4.772882361751084,2302.75390625,4788.05615234375
SEDiffernet,glass-insulator,0.7174749207339259,0.8567026194144838,0.3404255319148936,0.32,0.36363636363636365,0.23123954560946663,0.176672384219554,,,,,,,,6.614053073713703,2271.2890625,5178.84716796875
SEDiffernet,lightning-rod-suspension,0.5336538461538461,0.43703703703703706,0.4794520547945205,0.32710280373831774,0.8974358974358975,0.3078898520814101,0.0,,,,,,,,5.614226504608436,2111.30859375,4976.10693359375
SEDiffernet,polymer-insulator-upper-shackle,0.6022366522366522,0.38515901060070673,0.41216216216216217,0.26180257510729615,0.9682539682539683,0.27114676548229844,0.1045454545454545,,,,,,,,5.715885979547939,2079.36328125,4784.26318359375
SEDiffernet,vari-grip,0.5881578947368421,0.4155844155844156,0.4444444444444444,0.29508196721311475,0.9,0.44726829634780374,0.01754385964912286,,,,,,,,5.628839909256278,1674.66015625,4842.07568359375
SEDiffernet,yoke-suspension,0.2947264856355766,0.03919933277731443,0.07096774193548387,0.03678929765886288,1.0,0.02432719463565626,0.0025974025974025983,,,,,,,,4.821041084707926,1679.0,4794.26318359375
