Epoch	Train_Loss	Test_Loss	Image_AUROC	Pixel_AUROC
31	-3.165347	-3.015279	0.700858	0.581030
32	-3.173221	-3.016562	0.577435	0.000000
33	-3.179045	-3.019625	0.685474	0.000000
34	-3.185404	-3.015133	0.663555	0.000000
35	-3.191517	-3.027767	0.750861	0.000000
36	-3.196990	-3.025448	0.705370	0.000000
37	-3.204668	-3.034019	0.674621	0.000000
38	-3.214428	-3.043963	0.644456	0.000000
39	-3.213905	-2.999063	0.665908	0.000000
40	-3.217488	-3.040177	0.649396	0.000000
41	-3.220789	-3.038386	0.701383	0.000000
42	-3.230654	-2.999421	0.742789	0.000000
43	-3.237368	-2.906423	0.770134	0.000000
44	-3.238846	-3.047272	0.766906	0.000000
45	-3.242964	-3.039580	0.727755	0.000000
46	-3.247097	-2.927145	0.657001	0.000000
47	-3.255228	-3.054945	0.566564	0.000000
48	-3.255874	-3.061561	0.751366	0.000000
49	-3.259999	-3.068420	0.614330	0.000000
50	-3.263374	-3.078621	0.697785	0.000000
51	-3.264731	-3.068644	0.722290	0.000000
52	-3.273013	-3.075269	0.785460	0.000000
53	-3.280701	-3.073374	0.719567	0.000000
54	-3.281242	-3.085978	0.754517	0.000000
55	-3.284055	-3.075029	0.775813	0.000000
56	-3.284721	-3.077998	0.692670	0.000000
57	-3.287941	-3.080898	0.729447	0.000000
58	-3.295907	-3.081307	0.686057	0.000000
59	-3.295482	-3.086174	0.773130	0.000000
60	-3.305083	-3.080528	0.807826	0.000000
61	-3.324973	-3.081568	0.689889	0.641463
62	-3.308630	-3.089716	0.736857	0.655149
63	-3.304294	-3.088120	0.801700	0.600736
64	-3.314395	-3.091948	0.737013	0.637216
65	-3.340673	-3.085061	0.756462	0.599726
66	-3.320754	-3.099651	0.761791	0.635252
67	-3.323569	-3.093701	0.776514	0.608599
68	-3.326163	-3.100144	0.744248	0.631066
69	-3.352678	-3.093196	0.772507	0.630300
70	-3.330641	-3.086745	0.785421	0.598157
71	-3.333122	-3.098577	0.737344	0.638220
72	-3.334124	-3.104795	0.667639	0.612912
73	-3.368981	-3.100100	0.766634	0.620443
74	-3.343399	-3.109317	0.718089	0.603204
75	-3.342771	-3.107331	0.675847	0.620208
76	-3.345773	-3.106858	0.612832	0.644118
77	-3.379599	-3.104419	0.780792	0.641512
78	-3.349682	-3.106437	0.735165	0.653125
79	-3.352648	-3.104969	0.740767	0.625113
80	-3.353826	-3.112835	0.778653	0.604111
81	-3.384981	-3.083931	0.715697	0.619906
82	-3.359626	-3.102414	0.718517	0.610244
83	-3.360470	-3.115091	0.695179	0.663176
84	-3.356021	-3.097488	0.731120	0.637413
85	-3.365234	-3.004843	0.681778	0.634963
86	-3.371564	-2.728937	0.681701	0.640142
87	-3.371885	-3.119194	0.777642	0.645055
88	-3.370878	-3.125779	0.715153	0.660931
89	-3.375440	-3.117720	0.714375	0.623709
90	-3.378290	-3.121696	0.729603	0.648808
91	-3.378677	-3.113689	0.757240	0.611730
92	-3.378991	1.051111	0.724955	0.635704
93	-3.383411	-1.636700	0.734971	0.663161
94	-3.387903	-3.124890	0.715969	0.615134
95	-3.385605	-3.043531	0.732326	0.644099
96	-3.389966	-3.126171	0.736041	0.639382
97	-3.389973	-3.122860	0.752669	0.638509
98	-3.390074	-3.116562	0.676274	0.612278
99	-3.395538	-3.118219	0.738958	0.639588
100	-3.393743	-3.087203	0.670420	0.627098
101	-3.395025	-3.123749	0.700138	0.632207
102	-3.403756	-3.131594	0.700333	0.630472
103	-3.399410	-3.128031	0.771301	0.615098
104	-3.405524	-3.133311	0.703444	0.635259
105	-3.408881	-3.129683	0.701305	0.641990
106	-3.409537	-3.131461	0.766653	0.632462
107	-3.408554	-3.122734	0.807885	0.637194
108	-3.413266	-3.132429	0.729097	0.615412
109	-3.414694	-3.129636	0.791295	0.651220
110	-3.415857	-3.130130	0.783068	0.635192
111	-3.415700	-3.140638	0.715755	0.634300
112	-3.417694	-3.133672	0.705720	0.638994
113	-3.419664	-3.123152	0.762238	0.633541
114	-3.421012	-3.115621	0.787736	0.641562
115	-3.420921	-3.138643	0.738199	0.639015
116	-3.426046	-3.138062	0.746446	0.644417
117	-3.425476	-3.139344	0.734562	0.651453
118	-3.425411	-3.141691	0.721648	0.611259
119	-3.426944	-3.141119	0.767353	0.613773
120	-3.427938	-3.130116	0.761363	0.626058
121	-3.430964	-3.137675	0.759321	0.617856
122	-3.430852	-3.141665	0.771476	0.643704
123	-3.435918	-3.139225	0.742050	0.621305
124	-3.436734	-3.143364	0.782095	0.645167
125	-3.438306	-3.143090	0.717214	0.629946
126	-3.440353	-3.137757	0.754361	0.622962
127	-3.440632	-3.136180	0.767159	0.643525
128	-3.443804	-3.139041	0.763697	0.619448
129	-3.445328	-3.138470	0.758601	0.618757
130	-3.444381	-3.133047	0.718595	0.614335
131	-3.446573	-3.149216	0.754206	0.643101
132	-3.443995	-3.140601	0.725110	0.619380
133	-3.449776	-3.144302	0.778147	0.636668
134	-3.447343	-3.142117	0.735768	0.615780
135	-3.449916	-3.133527	0.746660	0.630129
136	-3.453203	-3.142535	0.722582	0.656278
137	-3.448469	-3.146994	0.780890	0.648090
138	-3.452302	-3.128139	0.759690	0.636155
139	-3.453097	-3.140241	0.745104	0.636153
140	-3.453085	-3.152992	0.678997	0.635154
141	-3.458252	-3.149937	0.692242	0.642495
142	-3.457247	-3.145485	0.747010	0.626047
143	-3.459267	-3.140970	0.761344	0.625736
144	-3.465477	-3.138344	0.772954	0.644801
145	-3.462149	-3.077541	0.743898	0.637325
146	-3.463163	-3.151223	0.772624	0.648504
147	-3.462622	-3.033626	0.750219	0.649891
148	-3.462513	-3.150132	0.739464	0.624234
149	-3.466906	-3.148573	0.729710	0.633093
150	-3.468766	-3.149238	0.739522	0.637823
151	-3.470738	-3.137699	0.793687	0.664329
152	-3.470179	-3.143400	0.805823	0.640852
153	-3.468168	-3.139496	0.776475	0.626511
154	-3.474141	-3.154063	0.748196	0.624085
155	-3.473418	-3.128318	0.759476	0.632514
156	-3.471249	-2.533308	0.710640	0.656644
157	-3.473609	-3.143419	0.727892	0.628851
158	-3.475433	-3.148060	0.733026	0.634996
159	-3.472661	-3.139680	0.719840	0.635186
160	-3.477512	-3.139977	0.689616	0.631476
161	-3.481814	-3.148120	0.737460	0.648966
162	-3.481875	-3.142625	0.727697	0.658402
163	-3.479283	-3.153254	0.736857	0.615090
164	-3.482410	-3.009627	0.735691	0.604187
165	-3.485702	-2.840394	0.757648	0.653750
166	-3.484557	-3.150757	0.733512	0.636015
167	-3.484378	-3.148215	0.745629	0.636248
168	-3.488739	-3.153796	0.799911	0.647903
169	-3.486246	-3.156552	0.740942	0.647621
170	-3.489766	-3.155416	0.735982	0.607494
171	-3.489571	-3.156258	0.746893	0.624057
172	-3.490235	-3.149865	0.748877	0.612265
173	-3.489867	-3.146631	0.706498	0.637679
174	-3.492192	-3.005347	0.764086	0.609393
175	-3.490475	-2.814992	0.766556	0.646659
176	-3.494901	-3.157250	0.734446	0.642178
177	-3.493988	-3.140367	0.725422	0.610058
178	-3.492261	-3.153522	0.748332	0.645413
179	-3.495506	-3.155386	0.743917	0.637515
180	-3.498604	-3.150501	0.779567	0.630962
181	-3.497924	-3.157846	0.732695	0.633507
